销售日期,扫码销售时间,单品编码,销量(千克),销售单价(元/千克),销售类型,是否打折销售
2020-07-01,09:15:07.924,102900005117056,0.396,7.6,销售,否
2020-07-01,09:17:27.295,102900005115960,0.849,3.2,销售,否
2020-07-01,09:17:33.905,102900005117056,0.409,7.6,销售,否
2020-07-01,09:19:45.450,102900005115823,0.421,10.0,销售,否
2020-07-01,09:20:23.686,102900005115908,0.539,8.0,销售,否
2020-07-01,09:21:55.556,102900005117056,0.277,7.6,销售,否
2020-07-01,09:21:56.536,102900005115779,0.338,8.0,销售,否
2020-07-01,09:22:01.274,102900005117056,0.132,7.6,销售,否
2020-07-01,09:22:01.476,102900005115779,0.213,8.0,销售,否
2020-07-01,09:22:15.998,102900011008522,0.514,8.0,销售,否
2020-07-01,09:22:21.264,102900005118824,0.251,10.0,销售,否
2020-07-01,09:24:21.833,102900005115984,0.251,6.0,销售,否
2020-07-01,09:24:21.905,102900005116530,0.217,18.0,销售,否
2020-07-01,09:24:57.873,102900005115984,0.468,6.0,销售,否
2020-07-01,09:25:31.342,102900005116226,0.589,8.0,销售,否
2020-07-01,09:25:45.811,102900005118824,0.711,10.0,销售,否
2020-07-01,09:26:04.530,102900005115779,1.003,8.0,销售,否
2020-07-01,09:28:01.983,102900005116530,0.095,18.0,销售,否
2020-07-01,09:30:17.045,102900005116233,0.15,10.0,销售,否
2020-07-01,09:30:26.948,102900005115984,0.502,6.0,销售,否
2020-07-01,09:31:42.483,102900005115984,0.452,6.0,销售,否
2020-07-01,09:32:25.623,102900005115908,0.501,8.0,销售,否
2020-07-01,09:32:59.701,102900005115779,0.201,8.0,销售,否
2020-07-01,09:33:08.981,102900005115779,0.439,8.0,销售,否
2020-07-01,09:33:09.579,102900005115762,0.686,6.0,销售,否
2020-07-01,09:33:09.998,102900005116714,0.329,14.0,销售,否
2020-07-01,09:35:02.477,102900005115908,0.251,8.0,销售,否
2020-07-01,09:35:02.557,102900005118817,0.243,14.0,销售,否
2020-07-01,09:35:13.164,102900005116530,0.256,18.0,销售,否
2020-07-01,09:35:40.456,102900005115984,0.318,6.0,销售,否
2020-07-01,09:36:36.108,102900011009970,0.445,9.0,销售,否
2020-07-01,09:36:41.217,102900005115779,0.363,8.0,销售,否
2020-07-01,09:36:42.447,102900005117209,0.482,16.0,销售,否
2020-07-01,09:36:43.131,102900011001219,0.343,14.0,销售,否
2020-07-01,09:38:48.342,102900005115984,0.502,6.0,销售,否
2020-07-01,09:39:03.622,102900005115779,0.301,8.0,销售,否
2020-07-01,09:41:09.342,102900005117056,0.198,7.6,销售,否
2020-07-01,09:41:22.206,102900051004294,0.172,14.0,销售,否
2020-07-01,09:41:22.701,102900005117056,0.66,7.6,销售,否
2020-07-01,09:41:37.873,102900005115984,0.753,6.0,销售,否
2020-07-01,09:41:50.626,102900005115984,0.552,6.0,销售,否
2020-07-01,09:41:50.904,102900051004294,0.057,14.0,销售,否
2020-07-01,09:43:10.108,102900005115960,1.101,3.2,销售,否
2020-07-01,09:44:13.951,102900005116547,0.435,6.0,销售,否
2020-07-01,09:44:30.811,102900005115984,0.201,6.0,销售,否
2020-07-01,09:44:54.358,102900005116547,0.452,6.0,销售,否
2020-07-01,09:46:00.552,102900005115984,0.385,6.0,销售,否
2020-07-01,09:46:00.634,102900005116714,0.522,14.0,销售,否
2020-07-01,09:46:32.585,102900005115984,0.435,6.0,销售,否
2020-07-01,09:46:33.204,102900051000944,0.545,39.8,销售,否
2020-07-01,09:46:43.139,102900011009970,0.368,9.0,销售,否
2020-07-01,09:46:45.326,102900005115908,0.313,8.0,销售,否
2020-07-01,09:47:03.686,102900005115779,0.276,8.0,销售,否
2020-07-01,09:51:17.170,102900005116547,0.217,6.0,销售,否
2020-07-01,09:51:24.696,102900005116714,0.236,14.0,销售,否
2020-07-01,09:51:58.076,102900011008522,0.451,8.0,销售,否
2020-07-01,09:52:14.936,102900005116530,0.184,18.0,销售,否
2020-07-01,09:53:40.584,102900005115984,0.418,6.0,销售,否
2020-07-01,09:54:49.759,102900005115984,0.502,6.0,销售,否
2020-07-01,09:55:59.202,102900005116547,0.468,6.0,销售,否
2020-07-01,09:55:59.529,102900005119975,0.234,6.0,销售,否
2020-07-01,09:56:02.826,102900005125815,0.301,10.0,销售,否
2020-07-01,09:57:10.112,102900005115786,0.786,6.0,销售,否
2020-07-01,09:57:39.561,102900011009970,0.401,9.0,销售,否
2020-07-01,09:57:59.405,102900005115960,0.629,3.2,销售,否
2020-07-01,09:59:59.498,102900011009970,0.457,9.0,销售,否
2020-07-01,10:00:17.089,102900005116714,0.401,14.0,销售,否
2020-07-01,10:00:17.255,102900005117056,0.554,7.6,销售,否
2020-07-01,10:00:17.421,102900051010455,0.969,9.0,销售,否
2020-07-01,10:00:31.623,102900005119975,0.468,6.0,销售,否
2020-07-01,10:00:36.217,102900005117056,0.145,7.6,销售,否
2020-07-01,10:00:55.467,102900005115779,0.251,8.0,销售,否
2020-07-01,10:01:04.530,102900005116509,0.829,4.0,销售,否
2020-07-01,10:02:18.931,102900005117056,0.581,7.6,销售,否
2020-07-01,10:02:47.115,102900005116509,0.402,4.0,销售,否
2020-07-01,10:02:47.263,102900005115762,0.702,6.0,销售,否
2020-07-01,10:02:47.478,102900051010455,0.768,9.0,销售,否
2020-07-01,10:03:18.592,102900005119975,0.234,6.0,销售,否
2020-07-01,10:04:14.905,102900005115984,0.769,6.0,销售,否
2020-07-01,10:04:32.326,102900005116714,0.329,14.0,销售,否
2020-07-01,10:06:39.995,102900005115984,0.585,6.0,销售,否
2020-07-01,10:07:09.210,102900005116509,0.402,4.0,销售,否
2020-07-01,10:08:03.203,102900005115762,0.636,6.0,销售,否
2020-07-01,10:09:18.087,102900005116530,0.095,18.0,销售,否
2020-07-01,10:09:28.185,102900005115779,0.426,8.0,销售,否
2020-07-01,10:09:28.663,102900005116509,0.427,4.0,销售,否
2020-07-01,10:10:33.190,102900005115984,0.636,6.0,销售,否
2020-07-01,10:11:13.217,102900005116530,0.312,18.0,销售,否
2020-07-01,10:11:35.951,102900051004294,0.372,14.0,销售,否
2020-07-01,10:11:36.576,102900005117056,0.515,7.6,销售,否
2020-07-01,10:11:42.576,102900005116943,0.339,18.0,销售,否
2020-07-01,10:11:43.764,102900005115960,1.321,3.2,销售,否
2020-07-01,10:12:17.628,102900005116714,0.386,14.0,销售,否
2020-07-01,10:12:18.196,102900005116257,0.585,6.0,销售,否
2020-07-01,10:12:32.281,102900005125808,0.182,25.8,销售,否
2020-07-01,10:13:08.905,102900005115779,0.476,8.0,销售,否
2020-07-01,10:13:25.034,102900005125808,0.058,25.8,销售,否
2020-07-01,10:13:39.264,102900005125815,0.2,10.0,销售,否
2020-07-01,10:14:44.982,102900005115779,0.338,8.0,销售,否
